species	exemplar	exemplar_isolate	exemplar_genbank_accession	exemplar_refseq_accession	exemplar_seq_complete	isolate_csv	isolate_genbank_accession_csv	isolate_seq_complete_csv	alternative_name_csv	abbrev_csv	isolate_abbrev	sort	taxnode_id	host	molecule	vmr_uid
Human coronavirus 229E	A			NULL	NULL	J0304	JX503061	Complete genome	human coronavirus 229E	HCoV_229E	NULL	2	202201852	vertebrates	ssRNA(+)	1562
Human coronavirus NL63	E	Amsterdam I	AY567487	NC_005831	Complete genome			NULL	human coronavirus NL63	HCoV_NL63	NULL	1	202201853	vertebrates	ssRNA(+)	1563
Miniopterus bat coronavirus 1	E	AFCD62	EU420138	NC_010437	Complete genome			NULL	Miniopterus bat coronavirus 1	Mi-BatCoV_1A	NULL	1	202201854	vertebrates	ssRNA(+)	1564
Miniopterus bat coronavirus HKU8	E	AFCD77	EU420139	NC_010438	Complete genome			NULL	Miniopterus bat coronavirus HKU8	Mi-BatCoV_HKU8	NULL	1	202201855	vertebrates	ssRNA(+)	1565
Mink coronavirus 1	E	WD1127	HM245925	NC_023760	Complete genome			NULL	mink coronavirus	MCoV	NULL	1	202201856	vertebrates	ssRNA(+)	1566
Porcine epidemic diarrhea virus	E	CV777	AF353511	NC_003436	Complete genome			NULL	porcine epidemic diarrhea virus	PEDV	NULL	1	202201857	vertebrates	ssRNA(+)	1567
Rhinolophus bat coronavirus HKU2	E	GD/430/2006	EF203064	NC_009988	Complete genome			NULL	Rhinolophus bat coronavirus HKU2	Rh-BatCoV_HKU2	NULL	1	202201858	vertebrates	ssRNA(+)	1568
Scotophilus bat coronavirus 512	E	512/2005	DQ648858	NC_009657	Complete genome			NULL	Scotophilus bat coronavirus 512	Sc-BatCoV_512	NULL	1	202201859	vertebrates	ssRNA(+)	1569
Betacoronavirus 1	E	ATCC VR-759	AY585228	NC_006213	Complete genome			NULL	human coronavirus OC43	HCoV_OC43	NULL	1	202201861	vertebrates	ssRNA(+)	1570
Hedgehog coronavirus 1	E	2012-174/GER/2012	KC545383	NC_039207	Complete genome			NULL	hedgehog coronavirus 1	EriCoV	NULL	1	202201862	vertebrates	ssRNA(+)	1571
Human coronavirus HKU1	E	HKU1	AY597011	NC_006577	Complete genome			NULL	human coronavirus HKU1	HCoV_HKU1	NULL	1	202201863	vertebrates	ssRNA(+)	1572
Middle East respiratory syndrome-related coronavirus	E	HCoV-EMC	JX869059	NC_019843	Complete genome			NULL	Middle East respiratory syndrome-related coronavirus	MERS-CoV	NULL	1	202201864	vertebrates	ssRNA(+)	1573
Murine coronavirus	E	A59	AY700211	NC_048217	Complete genome			NULL	murine hepatitis virus	MHV	NULL	1	202201865	vertebrates	ssRNA(+)	1574
Pipistrellus bat coronavirus HKU5	E	LMH03f	EF065509	NC_009020	Complete genome			NULL	Pipistrellus bat coronavirus HKU5	Pi-BatCoV_HKU5	NULL	1	202201866	vertebrates	ssRNA(+)	1575
Rousettus bat coronavirus HKU9	E	BF_005I	EF065513	NC_009021	Complete genome			NULL	Rousettus bat coronavirus HKU9	Ro-BatCoV_HKU9	NULL	1	202201867	vertebrates	ssRNA(+)	1576
Severe acute respiratory syndrome-related coronavirus	E	Tor2	AY274119	NC_004718	Complete genome			NULL	severe acute respiratory syndrome coronavirus	SARS-CoV	NULL	1	202201868	vertebrates	ssRNA(+)	1577
Wigeon coronavirus HKU20	E	9243	JQ065048	NC_016995	Complete genome			NULL	wigeon coronavirus HKU20	WiCoV_HKU20	NULL	1	202201878	vertebrates	ssRNA(+)	1588
Avian coronavirus	E	Beaudette	M95169	NC_001451	Complete genome			NULL	infectious bronchitis virus	IBV	NULL	1	202201880	vertebrates	ssRNA(+)	1589
Beluga whale coronavirus SW1	E	SW1	EU111742	NC_010646	Complete genome			NULL	beluga whale coronavirus	BWCoV	NULL	1	202201881	vertebrates	ssRNA(+)	1590
Beluga whale coronavirus SW1	A			NULL	NULL	CF090325	KF793824	Complete genome	bottlenose dolphin coronavirus HKU22	BdCoV_HKU22	NULL	2	202201881	vertebrates	ssRNA(+)	1591
Fathead minnow nidovirus 1	E		GU002364	NC_038295	Complete genome			NULL	fathead minnow nidovirus	FHMNV	NULL	1	202201884	vertebrates	ssRNA(+)	1592
White bream virus	E	DF24/00	DQ898157	NC_008516	Complete genome			NULL	white bream virus	WBV	NULL	1	202201885	vertebrates	ssRNA(+)	1593
Bovine torovirus	E	Breda 1	AY427798	NC_007447	Complete genome			NULL	bovine torovirus	BRV	NULL	1	202201887	vertebrates	ssRNA(+)	1594
Equine torovirus	E	Berne	DQ310701; X52506; X52505	NC_043213; NC_043212; NC_043211	Partial genome			NULL	equine torovirus	EToV	NULL	1	202201888	vertebrates	ssRNA(+)	1595
Porcine torovirus	E	SH1	JQ860350	NC_022787	Complete genome			NULL	porcine torovirus	PoTV	NULL	1	202201890	vertebrates	ssRNA(+)	1596
Ball python nidovirus 1	E	19541	KJ541759	NC_024709	Complete genome			NULL	ball python nidovirus	BPNV	NULL	1	202201892	vertebrates	ssRNA(+)	1597
