species	exemplar	exemplar_isolate	exemplar_genbank_accession	exemplar_refseq_accession	exemplar_seq_complete	isolate_csv	isolate_genbank_accession_csv	isolate_seq_complete_csv	alternative_name_csv	abbrev_csv	isolate_abbrev	sort	taxnode_id	host	molecule
Tomato leaf curl China virus	A	NULL	NULL	NULL	NULL	China/Guangxi 63/2003/Nanning2	DNA-A: AJ704603	Complete genome	tomato leaf curl China virus	ToLCCNV/NN2	NULL	4	202103419	plants	ssDNA
Tomato leaf curl Comoros virus	A	NULL	NULL	NULL	NULL	Madagascar/Dimadjou/2006/Madagascar	AM701761	Complete genome	tomato leaf curl Comoros virus	ToLCKMV/MG	NULL	2	202103420	plants	ssDNA
Tomato leaf curl Ghana virus	A	NULL	NULL	NULL	NULL	Cameroon/AGFG24/2009/Ageratum	DNA-A: FR873228	Complete genome	tomato leaf curl Ghana virus	ToLCGV/Ag	NULL	2	202103422	plants	ssDNA
Tomato leaf curl Java virus	A	NULL	NULL	NULL	NULL	Indonesia/Ageratum/B	AB162141	Complete genome	tomato leaf curl Java virus	ToLCJaV/B	NULL	2	202103430	plants	ssDNA
Tomato leaf curl Madagascar virus	A	NULL	NULL	NULL	NULL	Madagascar/Toliary/2001/Atsimo	AJ865339	Complete genome	tomato leaf curl Madagascar virus	ToLCMGV/Ats	NULL	2	202103436	plants	ssDNA
Tomato leaf curl Philippines virus	A	NULL	NULL	NULL	NULL	Philippines/Laguna/2006/A	DNA-A: AB377113	Complete genome	tomato leaf curl Philippines virus	ToLCPV/A	NULL	2	202103449	plants	ssDNA
Tomato leaf curl Philippines virus	A	NULL	NULL	NULL	NULL	Philippines/Laguna/2006/C	DNA-A: AB307731	Complete genome	tomato leaf curl Philippines virus	ToLCPV/C	NULL	3	202103449	plants	ssDNA
Tomato leaf curl Sudan virus	A	NULL	NULL	NULL	NULL	Sudan/WM/2011	KC763630	Complete genome	tomato leaf curl Sudan virus	ToLCSDV	NULL	2	202103455	plants	ssDNA
Tomato leaf curl Sudan virus	A	NULL	NULL	NULL	NULL	Sudan/Shambat/1996/Shambat	AY044139	Complete genome	tomato leaf curl Sudan virus	ToLCSDV/Sha	NULL	3	202103455	plants	ssDNA
Tomato leaf curl Sudan virus	A	NULL	NULL	NULL	NULL	Yemen/2005/Yemen	DNA-A: EF110891	Complete genome	tomato leaf curl Sudan virus	ToLCSDV/YE	NULL	4	202103455	plants	ssDNA
Tomato leaf curl Taiwan virus	A	NULL	NULL	NULL	NULL	China/NS1/2011	DNA-A: JQ867093	Complete genome	tomato leaf curl Taiwan virus	ToLCTV	NULL	2	202103457	plants	ssDNA
Tomato leaf curl Taiwan virus	A	NULL	NULL	NULL	NULL	Taiwan/Luye 2/4/2009/B	DNA-A: GU723730	Complete genome	tomato leaf curl Taiwan virus	ToLCTV/B	NULL	3	202103457	plants	ssDNA
Tomato leaf curl Taiwan virus	A	NULL	NULL	NULL	NULL	Taiwan/Chiayi/LJC14/2005/C	DNA-A: DQ866128	Complete genome	tomato leaf curl Taiwan virus	ToLCTV/C	NULL	4	202103457	plants	ssDNA
Tomato leaf curl virus	A	NULL	NULL	NULL	NULL	Australia/Solanum/D1/Solanum	AF084006	Complete genome	tomato leaf curl virus	ToLCV/Sol	NULL	2	202103461	plants	ssDNA
Tomato leaf curl virus	A	NULL	NULL	NULL	NULL	India/New Delhi/CTS/2006	DNA-A: DQ629101	Complete genome	tomato leaf curl virus	ToLCV	NULL	3	202103461	plants	ssDNA
Tomato leaf curl virus	A	NULL	NULL	NULL	NULL	India/Punjab/Mentha/2007/Bangalore	FJ514798	Complete genome	tomato leaf curl virus	ToLCV/Ban	NULL	4	202103461	plants	ssDNA
Tomato leaf curl virus	A	NULL	NULL	NULL	NULL	India/Janti/2005/Janti	AY754812	Complete genome	tomato leaf curl virus	ToLCV/Jan	NULL	5	202103461	plants	ssDNA
Tomato severe leaf curl virus	A	NULL	NULL	NULL	NULL	Mexico/Huasteca/2011	DNA-A: JN680352	Complete genome	tomato severe leaf curl virus	ToSLCV	NULL	2	202103472	plants	ssDNA
Tomato severe leaf curl virus	A	NULL	NULL	NULL	NULL	Nicaragua/Condega/Nicaragua	DNA-A: AJ508784	Complete genome	tomato severe leaf curl virus	ToSLCV/NI	NULL	3	202103472	plants	ssDNA
Tomato yellow leaf curl China virus	A	NULL	NULL	NULL	NULL	China/Yunnan 10/Tobacco/2000/Baoshan	AJ319675	Complete genome	tomato yellow leaf curl China virus	TYLCCNV/BS1	NULL	2	202103475	plants	ssDNA
Tomato yellow leaf curl China virus	A	NULL	NULL	NULL	NULL	China/Yunnan 25/Tomato/2000	DNA-A: AJ457985	Complete genome	tomato yellow leaf curl China virus	TYLCCNV	NULL	3	202103475	plants	ssDNA
Tomato yellow leaf curl China virus	A	NULL	NULL	NULL	NULL	China/Yunnan 278/Malvastrum/2007/Baoshan3	DNA-A: AM980509	Complete genome	tomato yellow leaf curl China virus	TYLCCNV/BS3	NULL	4	202103475	plants	ssDNA
Tomato yellow leaf curl China virus	A	NULL	NULL	NULL	NULL	China/Yunnan/Bean/2004/Bean	DQ256460	Complete genome	tomato yellow leaf curl China virus	TYLCCNV/Bea	NULL	5	202103475	plants	ssDNA
Tomato yellow leaf curl China virus	A	NULL	NULL	NULL	NULL	China/Yunnan 5/Tobacco/1999/Dali	DNA-A: AJ319674	Complete genome	tomato yellow leaf curl China virus	TYLCCNV/DL	NULL	6	202103475	plants	ssDNA
Tomato yellow leaf curl China virus	A	NULL	NULL	NULL	NULL	China/Yunnan 72/ Datura/2005/Datura	EF011559	Complete genome	tomato yellow leaf curl China virus	TYLCCNV/Dat	NULL	7	202103475	plants	ssDNA
Tomato yellow leaf curl Mali virus	A	NULL	NULL	NULL	NULL	Ethiopia/Melkassa/2005/Ethiopia	DNA-A: DQ358913	Complete genome	tomato yellow leaf curl Mali virus	TYLCMLV/ET	NULL	2	202103480	plants	ssDNA
Tomato yellow leaf curl Mali virus	A	NULL	NULL	NULL	NULL	Mali/2003/Mali	AY502934	Complete genome	tomato yellow leaf curl Mali virus	TYLCMLV/ML	NULL	3	202103480	plants	ssDNA
Tomato yellow leaf curl Thailand virus	A	NULL	NULL	NULL	NULL	Thailand/Chiang Mai/B	DNA-A: AY514630	Complete genome	tomato yellow leaf curl Thailand virus	TYLCTHV/B	NULL	2	202103482	plants	ssDNA
Tomato yellow leaf curl Thailand virus	A	NULL	NULL	NULL	NULL	China/Yunnan 72/2002/C	DNA-A: AJ495812	Complete genome	tomato yellow leaf curl Thailand virus	TYLCTHV/C	NULL	3	202103482	plants	ssDNA
Tomato yellow leaf curl Thailand virus	A	NULL	NULL	NULL	NULL	Myanmar/Yangon/1999/D	DNA-A: AF206674	Complete genome	tomato yellow leaf curl Thailand virus	TYLCTHV/D	NULL	4	202103482	plants	ssDNA
Tomato yellow leaf curl Thailand virus	A	NULL	NULL	NULL	NULL	Thailand/Sakon Nakhon/E	DNA-A: AY514632	Complete genome	tomato yellow leaf curl Thailand virus	TYLCTHV/E	NULL	5	202103482	plants	ssDNA
Tomato yellow leaf curl virus	A	NULL	NULL	NULL	NULL	Iran/Genaveh 29/2006/Boushehr	GU076454	Complete genome	tomato yellow leaf curl virus	TYLCV/Bou	NULL	2	202103484	plants	ssDNA
Tomato yellow leaf curl virus	A	NULL	NULL	NULL	NULL	Iran/Iranshahr/1998/Iran	AJ132711	Complete genome	tomato yellow leaf curl virus	TYLCV/IR	NULL	3	202103484	plants	ssDNA
Tomato yellow leaf curl virus	A	NULL	NULL	NULL	NULL	Iran/Kahnooj/2007/Kahnoo	EU635776	Complete genome	tomato yellow leaf curl virus	TYLCV/Kah	NULL	4	202103484	plants	ssDNA
Tomato yellow leaf curl virus	A	NULL	NULL	NULL	NULL	Iran/Hormozgan 32/2006/Kerman	GU076442	Complete genome	tomato yellow leaf curl virus	TYLCV/Ker	NULL	5	202103484	plants	ssDNA
Tomato yellow leaf curl virus	A	NULL	NULL	NULL	NULL	Israel/1993/Mild	X76319	Complete genome	tomato yellow leaf curl virus	TYLCV/Mld	NULL	6	202103484	plants	ssDNA
Beet curly top virus	A	NULL	NULL	NULL	NULL	Mexico/Mild/2006/Mild	EU193175	Complete genome	beet curly top virus	BCTV/Mld	NULL	2	202103503	plants	ssDNA
Beet curly top virus	A	NULL	NULL	NULL	NULL	United States/Severe/Cfh/Severe	U02311	Complete genome	beet curly top virus	BCTV/Svr	NULL	3	202103503	plants	ssDNA
Beet curly top virus	A	NULL	NULL	NULL	NULL	United States/New Mexico/Severe/Pepper/2001/Severe pepper	FJ545686	Complete genome	beet curly top virus	BCTV/SvrPep	NULL	4	202103503	plants	ssDNA
Beet curly top virus	A	NULL	NULL	NULL	NULL	United States/Colorado/1995/Colorado	JN817383	Complete genome	beet curly top virus	BCTV/CO	NULL	5	202103503	plants	ssDNA
Beet curly top virus	A	NULL	NULL	NULL	NULL	United States/Mild/Worland/Worland	U56975	Complete genome	beet curly top virus	BCTV/Wor	NULL	6	202103503	plants	ssDNA
Beet curly top virus	A	NULL	NULL	NULL	NULL	United States/Spinach 3/1996/Spinach curly top	AY548948	Complete genome	beet curly top virus	BCTV/ SpCT	NULL	7	202103503	plants	ssDNA
Beet curly top virus	A	NULL	NULL	NULL	NULL	United States/New Mexico/Pepper/2005/Pepper curly top	EF501977	Complete genome	beet curly top virus	BCTV/ PeCT	NULL	8	202103503	plants	ssDNA
Beet curly top virus	A	NULL	NULL	NULL	NULL	United States/New Mexico/Pepper/2007/Pepper yellow dwarf	EU921828	Complete genome	beet curly top virus	BCTV/ PeYD	NULL	9	202103503	plants	ssDNA
Eragrostis curvula streak virus	A	NULL	NULL	NULL	NULL	South Africa/Gre4/Ky3/2008/B	FJ665630	Complete genome	Eragrostis curvula streak virus	ECSV/B	NULL	2	202103507	plants	ssDNA
Chickpea chlorosis virus	A	NULL	NULL	NULL	NULL	Australia/Queensland 21/2003/B	GU256531	Complete genome	chickpea chlorosis virus	CpCV/B	NULL	2	202103514	plants	ssDNA
Chickpea chlorosis virus	A	NULL	NULL	NULL	NULL	Australia/3494Ia/2002/C	JN989416	Complete genome	chickpea chlorosis virus	CpCV/C	NULL	3	202103514	plants	ssDNA
Chickpea chlorosis virus	A	NULL	NULL	NULL	NULL	Australia/3460B/2002/E	JN989426	Complete genome	chickpea chlorosis virus	CpCV/E	NULL	4	202103514	plants	ssDNA
Chickpea chlorotic dwarf virus	A	NULL	NULL	NULL	NULL	Syria/SYR2/2008/A	FR687959	Complete genome	chickpea chlorotic dwarf virus	CpCDV/A	NULL	2	202103515	plants	ssDNA
Chickpea chlorotic dwarf virus	A	NULL	NULL	NULL	NULL	Pakistan/Faisalabad 6/2006/C	AM849097	Complete genome	chickpea chlorotic dwarf virus	CpCDV/C	NULL	3	202103515	plants	ssDNA
Chickpea chlorotic dwarf virus	A	NULL	NULL	NULL	NULL	Pakistan/BGR/2008/D	FR687960	Complete genome	chickpea chlorotic dwarf virus	CpCDV/D	NULL	4	202103515	plants	ssDNA
Chickpea chlorotic dwarf virus	A	NULL	NULL	NULL	NULL	Sudan/Abu Haraz/Nhe/1997/E	AM933135	Complete genome	chickpea chlorotic dwarf virus	CpCDV/E	NULL	5	202103515	plants	ssDNA
Digitaria ciliaris striate mosaic virus	A	NULL	NULL	NULL	NULL	Australia/Corinda/QG8/2011/A	JQ948091	Complete genome	Digitaria ciliaris striate mosaic virus	DCSMV/A	NULL	2	202103519	plants	ssDNA
Maize streak virus	A	NULL	NULL	NULL	NULL	South Africa/Worester/Plaas Staal B/g27b/2006/B	EU628597	Complete genome	maize streak virus	MSV/B	NULL	2	202103525	plants	ssDNA
Maize streak virus	A	NULL	NULL	NULL	NULL	South Africa/Mt Edgecomb/Setaria/1988/C	AF007881	Complete genome	maize streak virus	MSV/C	NULL	3	202103525	plants	ssDNA
Maize streak virus	A	NULL	NULL	NULL	NULL	South Africa/Rawsonville/1998/D	AF329889	Complete genome	maize streak virus	MSV/D	NULL	4	202103525	plants	ssDNA
Maize streak virus	A	NULL	NULL	NULL	NULL	South Africa/Mitchelle Park/Natal A/g125/Dig/2006/E	EU628626	Complete genome	maize streak virus	MSV/E	NULL	5	202103525	plants	ssDNA
Maize streak virus	A	NULL	NULL	NULL	NULL	Nigeria/IITA B/g88/Urochloa/2007/F	EU628629	Complete genome	maize streak virus	MSV/F	NULL	6	202103525	plants	ssDNA
Maize streak virus	A	NULL	NULL	NULL	NULL	Mali/Mic25/Digitaria/1987/G	EU628631	Complete genome	maize streak virus	MSV/G	NULL	7	202103525	plants	ssDNA
Maize streak virus	A	NULL	NULL	NULL	NULL	Nigeria/Lagbaka/g79/Setaria/2007/H	EU628638	Complete genome	maize streak virus	MSV/H	NULL	8	202103525	plants	ssDNA
Maize streak virus	A	NULL	NULL	NULL	NULL	South Africa/New Germany/Natal/A/g217/Digitaria/2007/I	EU628639	Complete genome	maize streak virus	MSV/I	NULL	9	202103525	plants	ssDNA
Maize streak virus	A	NULL	NULL	NULL	NULL	Zimbabwe/Mic24K/Pennisetum/1987/J	EU628641	Complete genome	maize streak virus	MSV/J	NULL	10	202103525	plants	ssDNA
Maize streak virus	A	NULL	NULL	NULL	NULL	Uganda/Busia 4/Eustachys/2005/K	EU628643	Complete genome	maize streak virus	MSV/K	NULL	11	202103525	plants	ssDNA
Panicum streak virus	A	NULL	NULL	NULL	NULL	Kenya/1990/B	X60168	Complete genome	Panicum streak virus	PanSV/B	NULL	2	202103528	plants	ssDNA
Panicum streak virus	A	NULL	NULL	NULL	NULL	Zimbabwe/Guruwe 169/Urochloa/2006/C	EU224264	Complete genome	Panicum streak virus	PanSV/C	NULL	3	202103528	plants	ssDNA
Panicum streak virus	A	NULL	NULL	NULL	NULL	Nigeria/Ifon 91/Urochloa/2007/D	EU224265	Complete genome	Panicum streak virus	PanSV/D	NULL	4	202103528	plants	ssDNA
Panicum streak virus	A	NULL	NULL	NULL	NULL	Kenya/Jic10/1997/E	GQ415391	Complete genome	Panicum streak virus	PanSV/E	NULL	5	202103528	plants	ssDNA
Panicum streak virus	A	NULL	NULL	NULL	NULL	Kenya/Nye2/g364/2008/F	GQ415392	Complete genome	Panicum streak virus	PanSV/F	NULL	6	202103528	plants	ssDNA
Panicum streak virus	A	NULL	NULL	NULL	NULL	Mayotte/Cac/g385/2008/G	GQ415395	Complete genome	Panicum streak virus	PanSV/G	NULL	7	202103528	plants	ssDNA
Panicum streak virus	A	NULL	NULL	NULL	NULL	Central African Republic/Bai2/Car11/Brachiaria/2008/H	GQ415397	Complete genome	Panicum streak virus	PanSV/H	NULL	8	202103528	plants	ssDNA
Panicum streak virus	A	NULL	NULL	NULL	NULL	Kenya/Nra1/g374/2008	GQ415399	Complete genome	Panicum streak virus	PanSV/I	NULL	9	202103528	plants	ssDNA
Paspalum striate mosaic virus	A	NULL	NULL	NULL	NULL	Australia/Farrant Hill/3011/2011/B	JQ948069	Complete genome	Paspalum striate mosaic virus	PSMV/B	NULL	2	202103530	plants	ssDNA
Sugarcane streak Reunion virus	A	NULL	NULL	NULL	NULL	Zimbabwe/Nyangombe 177/Paspalum/2006	EU244916	Complete genome	sugarcane streak Reunion virus	SSREV/B	NULL	2	202103535	plants	ssDNA
Rhinovirus A	A	NULL	NULL	NULL	NULL	ATCC VR-1175	FJ445147	Complete genome	rhinovirus A65	RV-A65	NULL	52	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	ATCC VR-1176	FJ445148	Complete genome	rhinovirus A66	RV-A66	NULL	53	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	ATCC VR-1177	FJ445149	Complete genome	rhinovirus A67	RV-A67	NULL	54	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	ATCC VR-1178	FJ445150	Complete genome	rhinovirus A68	RV-A68	NULL	55	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	ATCC VR-1181	FJ445152	Complete genome	rhinovirus A71	RV-A71	NULL	56	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	107E	DQ473492	Complete genome	rhinovirus A73	RV-A73	NULL	57	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	328A	DQ473494	Complete genome	rhinovirus A74	RV-A74	NULL	58	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	328F	DQ473510	Complete genome	rhinovirus A75	RV-A75	NULL	59	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	H00062	DQ473502	Complete genome	rhinovirus A76	RV-A76	NULL	60	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	ATCC VR-1187	FJ445154	Complete genome	rhinovirus A77	RV-A77	NULL	61	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	2030-65	EF173418	Complete genome	rhinovirus A78	RV-A78	NULL	62	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	ATCC VR-1190	FJ445156	Complete genome	rhinovirus A80	RV-A80	NULL	63	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	ATCC VR-1191	FJ445157	Complete genome	rhinovirus A81	RV-A81	NULL	64	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	Santa Cruz (California)	DQ473509	Complete genome	rhinovirus A82	RV-A82	NULL	65	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	ATCC VR-1195	FJ445163	Complete genome	rhinovirus A85	RV-A85	NULL	66	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	CVD 01-0165-Dambrauskas	DQ473504	Complete genome	rhinovirus A88	RV-A88	NULL	67	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	41467-Gallo	M16248	Complete genome	rhinovirus A89	RV-A89	NULL	68	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	ATCC VR-1291	FJ445167	Complete genome	rhinovirus A90	RV-A90	NULL	69	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	SF-1803	EF173419	Complete genome	rhinovirus A94	RV-A94	NULL	70	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	ATCC VR-1296	FJ445171	Complete genome	rhinovirus A96	RV-A96	NULL	71	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	ATCC VR-1300	FJ445175	Complete genome	rhinovirus A100	RV-A100	NULL	72	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	hrv-A101	GQ415051	Complete genome	rhinovirus A101	RV-A101	NULL	73	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	AMS323	EF155421	Complete genome	rhinovirus A102	RV-A102	NULL	74	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	WA327E/09	JF965515	Complete genome	rhinovirus A103	RV-A103	NULL	75	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	p1025_sR2625_2009	JN562727	Complete genome	rhinovirus A104	RV-A104	NULL	76	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	p1064_sR985_2009	JN614995	Complete genome	rhinovirus A105	RV-A105	NULL	77	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	p1044_sR114_2008	JQ245971	Complete genome	rhinovirus A106	RV-A106	NULL	78	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	S07259	KC859319	Partial genome	rhinovirus A107	RV-A107	NULL	79	202101993	vertebrates	ssRNA(+)
Rhinovirus A	A	NULL	NULL	NULL	NULL	S07696	KC859318	Partial genome	rhinovirus A108	RV-A108	NULL	80	202101993	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	16/60	DQ473490	Complete genome	rhinovirus B4	RV-B4	NULL	2	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	Norman/ATCC VR-485	FJ445112	Complete genome	rhinovirus B5	RV-B5	NULL	3	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	Thompson	DQ473486	Complete genome	rhinovirus B6	RV-B6	NULL	4	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	1059 (South Carolina/59)	K02121	Complete genome	rhinovirus B14	RV-B14	NULL	5	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	33342 (North Carolina/59)	EF173420	Complete genome	rhinovirus B17	RV-B17	NULL	6	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	5660-CV27/ATCC VR-1136	FJ445124	Complete genome	rhinovirus B26	RV-B26	NULL	7	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	5870-CV28/ATCC VR-1137	FJ445186	Complete genome	rhinovirus B27	RV-B27	NULL	8	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	164A	DQ473487	Complete genome	rhinovirus B35	RV-B35	NULL	9	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	151-1	EF173423	Complete genome	rhinovirus B37	RV-B37	NULL	10	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	56822 (North Carolina/61)/ATCC VR-338	FJ445130	Complete genome	rhinovirus B42	RV-B42	NULL	11	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	1505	DQ473488	Complete genome	rhinovirus B48	RV-B48	NULL	12	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	F01-3772/ATCC VR-1162	FJ445188	Complete genome	rhinovirus B52	RV-B52	NULL	13	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	F01-2513-Mitchinson/ATCC VR-1179	FJ445151	Complete genome	rhinovirus B69	RV-B69	NULL	14	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	F02-2547-Treganza	DQ473489	Complete genome	rhinovirus B70	RV-B70	NULL	15	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	K2207/ATCC VR-1182	FJ445153	Complete genome	rhinovirus B72	RV-B72	NULL	16	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	101-1/ATCC VR-1189	FJ445155	Complete genome	rhinovirus B79	RV-B79	NULL	17	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	Baylor 7/ATCC VR-1193	FJ445161	Complete genome	rhinovirus B83	RV-B83	NULL	18	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	432D/ATCC VR-1194	FJ445162	Complete genome	rhinovirus B84	RV-B84	NULL	19	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	121564-Johnson/ATCC VR-1196	FJ445164	Complete genome	rhinovirus B86	RV-B86	NULL	20	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	JM1/ATCC VR-1292	FJ445168	Complete genome	rhinovirus B91	RV-B91	NULL	21	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	SF-1662/ATCC VR-1293	FJ445169	Complete genome	rhinovirus B92	RV-B92	NULL	22	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	SF-1492	EF173425	Complete genome	rhinovirus B93	RV-B93	NULL	23	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	SF-1372/ATCC VR-1297	FJ445172	Complete genome	rhinovirus B97	RV-B97	NULL	24	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	604/ATCC VR-1299	FJ445174	Complete genome	rhinovirus B99	RV-B99	NULL	25	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	CU211 (Thailand/2006)	HQ123444	Complete coding genome	rhinovirus B100	RV-B100	NULL	26	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	p1156_sR810_2007	JF781500	Complete genome	rhinovirus B101	RV-B101	NULL	27	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	p1044_sR122_2007	JX074053	Complete genome	rhinovirus B102	RV-B102	NULL	28	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	p1160_sR1153_2009	JN614996	Complete genome	rhinovirus B103	RV-B103	NULL	29	202101994	vertebrates	ssRNA(+)
Rhinovirus B	A	NULL	NULL	NULL	NULL	F10	FJ445137	Complete genome	rhinovirus B104	RV-B104	NULL	30	202101994	vertebrates	ssRNA(+)
Rhinovirus C	A	NULL	NULL	NULL	NULL	NAT045	EF077280	Complete genome	rhinovirus C2	RV-C2	NULL	2	202101995	vertebrates	ssRNA(+)
Rhinovirus C	A	NULL	NULL	NULL	NULL	QPM	EF186077	Complete genome	rhinovirus C3	RV-C3	NULL	3	202101995	vertebrates	ssRNA(+)
Rhinovirus C	A	NULL	NULL	NULL	NULL	O24	EF582385	Complete genome	rhinovirus C4	RV-C4	NULL	4	202101995	vertebrates	ssRNA(+)
Rhinovirus C	A	NULL	NULL	NULL	NULL	O25	EF582386	Complete genome	rhinovirus C5	RV-C5	NULL	5	202101995	vertebrates	ssRNA(+)
Rhinovirus C	A	NULL	NULL	NULL	NULL	O26	EF582387	Complete genome	rhinovirus C6	RV-C6	NULL	6	202101995	vertebrates	ssRNA(+)
Rhinovirus C	A	NULL	NULL	NULL	NULL	NY-074(1078)	DQ875932	Complete genome	rhinovirus C7	RV-C7	NULL	7	202101995	vertebrates	ssRNA(+)
Rhinovirus C	A	NULL	NULL	NULL	NULL	N4	GQ223227	Complete genome	rhinovirus C8	RV-C8	NULL	8	202101995	vertebrates	ssRNA(+)
Rhinovirus C	A	NULL	NULL	NULL	NULL	N10	GQ223228	Complete genome	rhinovirus C9	RV-C9	NULL	9	202101995	vertebrates	ssRNA(+)
Rhinovirus C	A	NULL	NULL	NULL	NULL	QCE	GQ323774	Complete genome	rhinovirus C10	RV-C10	NULL	10	202101995	vertebrates	ssRNA(+)
Rhinovirus C	A	NULL	NULL	NULL	NULL	CL-170085	EU840952	Complete genome	rhinovirus C11	RV-C11	NULL	11	202101995	vertebrates	ssRNA(+)
Rhinovirus C	A	NULL	NULL	NULL	NULL	Resp_3922/07	HM236958	Partial genome	rhinovirus C12	RV-C12	NULL	12	202101995	vertebrates	ssRNA(+)
Rhinovirus C	A	NULL	NULL	NULL	NULL	Resp_2951/06	HM236908	Partial genome	rhinovirus C13	RV-C13	NULL	13	202101995	vertebrates	ssRNA(+)
Rhinovirus C	A	NULL	NULL	NULL	NULL	Resp_3090/06	HM236911	Partial genome	rhinovirus C14	RV-C14	NULL	14	202101995	vertebrates	ssRNA(+)
