species	exemplar	exemplar_isolate	exemplar_genbank_accession	exemplar_refseq_accession	exemplar_seq_complete	isolate_csv	isolate_genbank_accession_csv	isolate_seq_complete_csv	alternative_name_csv	abbrev_csv	isolate_abbrev	sort	taxnode_id	host	molecule	vmr_uid
Alphapapillomavirus 11	E		X74476	NULL	Complete genome	NULL	NULL	NULL	human papillomavirus 34	HPV34	NULL	4546	202203984	vertebrates	dsDNA	1
Alphapapillomavirus 12	E		M60184	NULL	Complete genome	NULL	NULL	NULL	Macaca mulata papillomavirus 1	MmPV1	NULL	4548	202203985	vertebrates	dsDNA	2
Alphapapillomavirus 13	E		U37488	NULL	Complete genome	NULL	NULL	NULL	human papillomavirus 54	HPV54	NULL	4560	202203986	vertebrates	dsDNA	3
Alphapapillomavirus 14	E		AB040456	NULL	Complete genome	NULL	NULL	NULL	human papillomavirus 71	HPV71	NULL	4561	202203987	vertebrates	dsDNA	4
Betapapillomavirus 1	E		M17463	NULL	Complete genome	NULL	NULL	NULL	human papillomavirus 5	HPV5	NULL	4565	202203989	vertebrates	dsDNA	5
Betapapillomavirus 2	E		X74464	NULL	Complete genome	NULL	NULL	NULL	human papillomavirus 9	HPV9	NULL	4586	202203990	vertebrates	dsDNA	6
Betapapillomavirus 3	E		X74480	NULL	Complete genome	NULL	NULL	NULL	human papillomavirus 49	HPV49	NULL	4606	202203991	vertebrates	dsDNA	7
Betapapillomavirus 4	E		AF531420	NULL	Complete genome	NULL	NULL	NULL	human papillomavirus 92	HPV92	NULL	4610	202203992	vertebrates	dsDNA	8
Betapapillomavirus 5	E		AY382779	NULL	Complete genome	NULL	NULL	NULL	human papillomavirus 96	HPV96	NULL	4611	202203993	vertebrates	dsDNA	9
Betapapillomavirus 6	E	Mac191	GU014531	NULL	Complete genome	NULL	NULL	NULL	Macaca fascicularis papillomavirus 2	MfPV2	NULL	4613	202203994	vertebrates	dsDNA	10
Chipapillomavirus 1	E		DQ295066	NULL	Complete genome	NULL	NULL	NULL	Canis familiaris papillomavirus 3	CPV3	NULL	4614	202203996	vertebrates	dsDNA	11
Chipapillomavirus 2	E	pug2006	EF584537	NULL	Complete genome	NULL	NULL	NULL	Canis familiaris papillomavirus 4	CPV4	NULL	4621	202203997	vertebrates	dsDNA	12
Chipapillomavirus 3	E	Charlotte	HQ262536	NULL	Complete genome	NULL	NULL	NULL	Canis familiaris papillomavirus 8	CPV8	NULL	4623	202203998	vertebrates	dsDNA	13
Deltapapillomavirus 1	E		M15953	NULL	Complete genome	NULL	NULL	NULL	Alces alces papillomavirus 1	AaPV1	NULL	4627	202204000	vertebrates	dsDNA	14
Deltapapillomavirus 2	E		M11910	NULL	Complete genome	NULL	NULL	NULL	Odocoileus virginianus papillomavirus 1	OvPV1	NULL	4629	202204001	vertebrates	dsDNA	15
Deltapapillomavirus 3	E		U83594	NULL	Complete genome	NULL	NULL	NULL	Ovis aries papillomavirus 1	OaPV1	NULL	4630	202204002	vertebrates	dsDNA	16
Deltapapillomavirus 4	E		X02346	NULL	Complete genome	NULL	NULL	NULL	Bos taurus papillomavirus 1	BPV1	NULL	4632	202204003	vertebrates	dsDNA	17
Deltapapillomavirus 5	E		EF680235	NULL	Complete genome	NULL	NULL	NULL	Capreolus capreolus papillomavirus 1	CcaPV1	NULL	4637	202204004	vertebrates	dsDNA	18
Deltapapillomavirus 6	E		HQ912790	NULL	Complete genome	NULL	NULL	NULL	Camelus dromedarius papillomavirus 1	CdPV1	NULL	4639	202204005	vertebrates	dsDNA	19
Deltapapillomavirus 7	E	GC2011	KX954132	NULL	Complete genome	NULL	NULL	NULL	Giraffa camelopardalis papillomavirus 1	GcPV1	NULL	4641	202205864	vertebrates	dsDNA	20
Dyochipapillomavirus 1	E	Asinara	KF741371	NULL	Complete genome	NULL	NULL	NULL	Equus asinus papillomavirus	EaPV1	NULL	4642	202204007	vertebrates	dsDNA	21
Dyodeltapapillomavirus 1	E	variant a	EF395818	NULL	Complete genome	NULL	NULL	NULL	Sus scrofa papillomavirus 1	SsPV1	NULL	4643	202204009	vertebrates	dsDNA	22
Dyoepsilonpapillomavirus 1	E		EU188799	NULL	Complete genome	NULL	NULL	NULL	Francolinus leucoscepus papillomavirus 1	FlPV1	NULL	4644	202204011	vertebrates	dsDNA	23
Dyoetapapillomavirus 1	E		FJ379293	NULL	Complete genome	NULL	NULL	NULL	Erinaceus europaeus papillomavirus 1	EePV1	NULL	4645	202204013	vertebrates	dsDNA	24
Dyoiotapapillomavirus 1	E	Haflinger	GU384895	NULL	Complete genome	NULL	NULL	NULL	Equus caballus papillomavirus 3	EcPV3	NULL	4646	202204015	vertebrates	dsDNA	25
Dyoiotapapillomavirus 2	E		JQ031032	NULL	Complete genome	NULL	NULL	NULL	Equus caballus papillomavirus 4	EcPV4	NULL	4648	202204016	vertebrates	dsDNA	26
Dyokappapapillomavirus 1	E	Sar1	FJ796965	NULL	Complete genome	NULL	NULL	NULL	Ovis aries papillomavirus 3	OaPV3	NULL	4650	202204018	vertebrates	dsDNA	27
Dyokappapapillomavirus 2	E		KC876045	NULL	Complete genome	NULL	NULL	NULL	Rupicapra rupicapra papillomavirus 1	RrPV1	NULL	4651	202204019	vertebrates	dsDNA	28
Dyokappapapillomavirus 3	E		KU519391	NULL	Complete genome	NULL	NULL	NULL	Bos taurus papillomavirus 16	BPV16	NULL	4652	202205865	vertebrates	dsDNA	29
Dyokappapapillomavirus 4	E		KU519393	NULL	Complete genome	NULL	NULL	NULL	Bos taurus papillomavirus 18	BPV18	NULL	4653	202205866	vertebrates	dsDNA	30
Dyokappapapillomavirus 5	E	ILAT 93802	KT932713	NULL	Complete genome	NULL	NULL	NULL	Pudu puda papillomavirus 1	PpuPV1	NULL	4654	202205867	vertebrates	dsDNA	31
Dyolambdapapillomavirus 1	E		GU220391	NULL	Complete genome	NULL	NULL	NULL	Bettongia penicillata papillomavirus 1	BpPV1	NULL	4655	202204021	vertebrates	dsDNA	32
Dyomupapillomavirus 1	E	Zurich 2009	HQ262535	NULL	Complete genome	NULL	NULL	NULL	Morelia spilota papillomavirus 1	MsPV1	NULL	4656	202204023	vertebrates	dsDNA	33
Dyonupapillomavirus 1	E	2008	HQ293213	NULL	Complete genome	NULL	NULL	NULL	Zalophus californianus papillomavirus 1	ZcPV1	NULL	4657	202204025	vertebrates	dsDNA	34
Dyoomegapapillomavirus 1	E		KC858264	NULL	Complete genome	NULL	NULL	NULL	Eptesicus serotinus papillomavirus 2	EsPV2	NULL	4658	202204027	vertebrates	dsDNA	35
Dyoomikronpapillomavirus 1	E	Mac2066	JF304765	NULL	Complete genome	NULL	NULL	NULL	Saimiri sciureus papillomavirus 1	SscPV1	NULL	4659	202204029	vertebrates	dsDNA	36
Dyophipapillomavirus 1	E	Bruges/2009/22	KC460987	NULL	Complete genome	NULL	NULL	NULL	Talpa europaea papillomavirus 1	TePV1	NULL	4663	202204031	vertebrates	dsDNA	37
Dyopipapillomavirus 1	E		GU117623	NULL	Complete genome	NULL	NULL	NULL	Phocoena phocoena papillomavirus	PphPV4	NULL	4664	202204033	vertebrates	dsDNA	38
Dyopsipapillomavirus 1	E		KC858263	NULL	Complete genome	NULL	NULL	NULL	Eptesicus serotinus papillomavirus 1	EsPV1	NULL	4665	202204035	vertebrates	dsDNA	39
Dyorhopapillomavirus 1	E	Sirkar_2011	JQ965698	NULL	Complete genome	NULL	NULL	NULL	Equus caballus papillomavirus 6	EcPV6	NULL	4667	202204037	vertebrates	dsDNA	40
Dyosigmapapillomavirus 1	E		KC020689	NULL	Complete genome	NULL	NULL	NULL	Castor canadensis papillomavirus 1	CcanPV1	NULL	4669	202204039	vertebrates	dsDNA	41
Dyotaupapillomavirus 1	E	TT20F	JQ692938	NULL	Complete genome	NULL	NULL	NULL	Miniopterus schreibersii papillomavirus 2	MscPV2	NULL	4670	202204041	vertebrates	dsDNA	42
Dyothetapapillomavirus 1	E	Main Coon 2007	EU796884	NULL	Complete genome	NULL	NULL	NULL	Felis domesticus papillomavirus 2	FcaPV2	NULL	4671	202204043	vertebrates	dsDNA	43
