prev_taxid	new_taxid	proposal	notes	is_merged	is_split	is_moved	is_promoted	is_demoted	is_renamed	is_new	is_deleted	is_now_type	is_lineage_updated	msl
\N	19710068	"ICTV 1st Report.pdf"	" p57"	0	0	0	0	0	0	1	0	0	0	1
\N	19710069	"ICTV 1st Report.pdf"	" p56"	0	0	0	0	0	0	1	0	0	0	1
\N	19710070	"ICTV 1st Report.pdf"	" p56"	0	0	0	0	0	0	1	0	0	0	1
\N	19710071	"ICTV 1st Report.pdf"	" p36"	0	0	0	0	0	0	1	0	0	0	1
\N	19710072	"ICTV 1st Report.pdf"	" p50"	0	0	0	0	0	0	1	0	0	0	1
\N	19710073	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710074	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710075	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710076	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710077	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710078	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710079	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710080	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710081	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710082	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710083	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710084	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710085	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710086	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710087	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710088	"ICTV 1st Report.pdf"	" p52"	0	0	0	0	0	0	1	0	0	0	1
\N	19710089	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710090	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710091	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710092	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710093	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710094	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710095	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710096	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710097	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710098	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710099	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710100	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710101	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710102	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710103	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710104	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710105	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710106	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710107	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710108	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710109	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710110	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710111	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710112	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710113	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710114	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710115	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710116	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710117	"ICTV 1st Report.pdf"	" p54"	0	0	0	0	0	0	1	0	0	0	1
\N	19710118	"ICTV 1st Report.pdf"	" p54"	0	0	0	0	0	0	1	0	0	0	1
\N	19710119	"ICTV 1st Report.pdf"	" p54"	0	0	0	0	0	0	1	0	0	0	1
\N	19710120	"ICTV 1st Report.pdf"	" p54"	0	0	0	0	0	0	1	0	0	0	1
\N	19710121	"ICTV 1st Report.pdf"	" p54"	0	0	0	0	0	0	1	0	0	0	1
\N	19710122	"ICTV 1st Report.pdf"	" p54"	0	0	0	0	0	0	1	0	0	0	1
\N	19710123	"ICTV 1st Report.pdf"	" p54"	0	0	0	0	0	0	1	0	0	0	1
\N	19710124	"ICTV 1st Report.pdf"	" p54"	0	0	0	0	0	0	1	0	0	0	1
\N	19710125	"ICTV 1st Report.pdf"	" p53"	0	0	0	0	0	0	1	0	0	0	1
\N	19710126	"ICTV 1st Report.pdf"	" p54"	0	0	0	0	0	0	1	0	0	0	1
\N	19710127	"ICTV 1st Report.pdf"	" p73"	0	0	0	0	0	0	1	0	0	0	1
